Mes;MoMoOld;MoMoNew;INE
Enero 2018;;;47911
Febrero 2018;;;39756
Marzo 2018;;;39772
Abril 2018;12670;12670;34956
Mayo 2018;31547;31547;33421
Junio 2018;30142;30142;31970
Julio 2018;30254;30254;32215
Agosto 2018;30953;30953;33177
Septiembre 2018;28465;28465;30293
Octubre 2018;31055;31055;32879
Noviembre 2018;32473;32473;34338
Diciembre 2018;34208;34208;37033
Enero 2019;42033;42033;44241
Febrero 2019;35570;35570;36826
Marzo 2019;35049;35049;35154
Abril 2019;32268;32268;34070
Mayo 2019;32080;32080;33734
Junio 2019;29907;29907;31764
Julio 2019;31444;31444;33383
Agosto 2019;29712;29712;31453
Septiembre 2019;28220;28220;29665
Octubre 2019;30974;30974;31885
Noviembre 2019;32848;32848;33523
Diciembre 2019;34145;34145;34582
Enero 2020;40683;40683;
Febrero 2020;34565;34565;
Marzo 2020;48753;54417;
Abril 2020;50070;56261;
Mayo 2020;28513;28513;
Junio 2020;;;
Julio 2020;;;
Agosto 2020;;;
Septiembre 2020;;;
Octubre 2020;;;
Noviembre 2020;;;
Diciembre 2020;;;
